postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2256,86,57,135,221,587,347,524,451,520,428,317,305,470,318,183,144,79,67,50,34,3
2257,139,69,180,295,978,580,958,819,940,810,569,519,984,594,314,275,139,128,91,64,12
2258,11,13,21,26,89,65,121,118,130,137,109,96,215,140,85,75,38,30,37,21,0
2259,228,115,347,498,1421,907,1859,1381,1620,1516,1242,1119,2048,1316,740,521,253,216,182,86,15
2260,96,38,76,113,332,273,382,390,433,466,355,434,811,601,436,354,208,215,176,131,14
2261,198,113,333,567,1454,903,1408,1342,1530,1337,1063,1061,1835,1118,649,468,199,184,128,86,19
2262,90,46,129,232,640,446,813,579,692,629,457,436,638,374,193,118,47,45,24,15,0
2263,122,60,167,288,830,474,867,687,725,686,546,411,642,361,203,123,43,50,41,37,4
2264,62,32,99,153,496,285,552,461,484,398,298,259,474,290,158,125,59,32,37,22,5
2265,23,10,40,37,143,100,160,155,168,134,107,115,206,118,60,60,24,17,18,15,0
2267,12,3,12,26,65,46,105,73,109,84,48,39,102,59,37,28,8,11,11,7,0
2278,10,3,12,7,34,30,58,66,81,86,59,60,103,64,33,19,16,10,5,3,0
2280,93,50,145,239,730,388,745,597,772,646,514,502,973,662,444,291,183,154,147,83,8
2281,56,31,71,145,466,223,484,354,434,349,275,250,472,311,177,157,76,72,40,38,3
2282,52,20,87,115,322,216,430,347,426,371,264,269,567,380,288,231,133,107,95,71,7
2283,75,65,169,291,648,403,783,608,788,658,525,467,795,499,302,201,111,106,91,65,8
2284,35,35,91,130,327,185,309,270,368,270,238,201,373,222,139,92,49,40,29,20,3
2285,99,55,158,251,755,384,797,689,844,820,732,733,1338,912,486,288,124,103,97,51,5
2286,7,4,21,37,91,56,120,107,120,137,98,90,145,99,38,23,18,8,8,3,0
2287,155,58,231,364,845,536,990,908,1010,976,803,734,1459,937,568,373,175,158,112,58,6
2289,48,30,98,155,408,233,457,405,484,457,384,397,754,589,440,273,152,131,130,50,12
2290,97,70,200,339,882,532,982,772,929,905,640,669,1227,847,590,400,229,202,148,98,9
2291,27,21,62,84,200,136,173,214,272,228,208,197,419,318,236,254,145,181,212,152,21
2292,12,7,18,28,56,31,55,63,88,86,61,59,124,54,41,20,10,13,11,8,0
2293,6,0,11,30,58,49,50,73,83,73,63,64,117,69,46,36,14,15,13,10,0
2294,6,0,16,29,64,30,31,52,54,42,49,41,94,65,29,19,9,3,9,0,0
2295,22,19,43,98,201,122,246,167,208,170,130,107,231,173,97,76,37,36,23,16,0
2296,8,3,14,10,50,42,51,55,70,61,58,48,78,58,20,24,13,13,10,0,0
2297,3,0,3,15,53,21,42,48,32,50,43,34,67,49,29,15,9,3,6,4,0
2298,43,21,78,104,265,155,241,254,263,249,214,182,330,211,145,80,45,27,19,9,0
2299,88,24,85,129,322,189,292,254,285,288,235,184,376,233,146,99,46,37,46,27,0
2300,14,17,46,56,86,61,82,79,114,114,93,105,230,140,120,128,76,83,87,65,0
2302,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2303,30,17,47,90,205,111,202,167,207,188,159,157,289,209,121,150,92,71,80,64,11
2304,67,30,140,226,431,290,388,374,509,465,356,375,580,396,237,99,49,48,33,10,0
2305,42,20,69,94,302,184,314,222,335,254,268,244,482,331,276,188,121,110,95,77,9
2306,8,14,54,133,168,93,164,120,89,84,55,35,58,8,5,0,3,0,0,0,0
2307,27,3,43,62,152,87,161,133,139,116,102,77,141,70,37,16,0,3,3,0,0
2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,10,3,9,12,36,20,31,22,29,27,17,12,26,15,10,12,0,0,0,3,0
2312,0,10,14,13,45,36,50,49,50,57,19,23,33,15,3,6,0,0,0,0,0
2315,65,45,96,148,412,273,466,440,493,403,269,266,435,260,145,127,62,55,45,34,0
2316,26,16,35,54,153,83,167,152,163,128,114,114,171,120,64,40,21,15,16,8,3
2317,28,21,49,81,215,128,237,205,249,202,122,104,171,100,70,45,19,21,10,10,0
2318,49,27,39,82,208,113,257,248,320,307,253,273,491,324,196,125,69,60,46,21,6
2319,31,16,58,85,262,162,319,245,234,195,158,143,197,102,48,31,11,13,7,7,0
2320,117,57,183,294,751,476,875,808,885,898,732,667,1289,831,554,384,217,219,155,111,19
2321,37,21,52,72,229,160,352,278,359,346,330,328,645,419,227,165,95,82,64,36,0
2322,57,31,103,144,427,284,558,438,543,539,435,381,692,436,239,159,91,64,63,24,7
2323,89,49,131,271,619,373,758,638,807,646,562,554,980,586,368,229,122,98,108,69,6
2324,85,60,178,267,740,498,887,696,845,666,504,424,720,447,202,139,89,73,41,34,6
2325,109,62,226,384,890,492,995,769,869,705,546,523,866,462,286,192,105,91,64,57,6
2326,29,15,66,101,250,136,250,186,210,212,166,132,200,133,65,44,26,15,12,0,0
2327,31,11,76,100,286,168,312,258,256,226,166,173,217,113,71,30,14,11,13,3,0
2328,8,12,9,32,59,40,74,61,75,48,42,42,98,54,31,20,12,13,0,0,0
2329,14,16,18,25,70,25,74,51,76,56,29,37,59,36,18,20,5,3,0,3,0
