postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2079, NSW",798,1064,0,252,12,0,5,56,122,2306
"2080, NSW",197,256,0,58,4,0,0,23,26,571
"2081, NSW",592,805,0,164,12,0,7,54,77,1712
"2082, NSW",671,793,8,171,5,0,4,68,76,1794
"2083, NSW",213,220,0,104,4,0,0,45,212,792
"2084, NSW",427,415,0,108,10,0,7,50,79,1091
"2085, NSW",1367,1407,3,237,14,3,10,97,132,3275
"2086, NSW",1563,1811,0,410,21,0,16,129,167,4107
"2087, NSW",1573,1500,3,409,29,0,8,100,177,3798
"2088, NSW",2036,1379,0,410,29,8,15,215,358,4446
"2089, NSW",221,146,0,51,4,0,0,36,50,507
"2090, NSW",486,375,0,111,5,0,5,52,77,1122
"2092, NSW",775,830,0,246,8,5,3,76,156,2096
"2093, NSW",1860,1910,0,440,18,3,14,170,300,4727
"2094, NSW",261,291,0,78,4,0,0,27,46,706
"2095, NSW",367,236,0,120,8,0,6,48,69,853
"2096, NSW",914,954,4,269,15,0,4,138,127,2425
"2097, NSW",1383,1531,0,316,21,4,15,175,161,3608
"2099, NSW",2361,2581,5,900,31,13,27,335,338,6591
"2100, NSW",2003,2253,7,576,34,4,21,204,266,5368
"2101, NSW",1442,1570,5,439,30,12,13,163,225,3907
"2102, NSW",435,572,0,135,9,8,3,52,67,1286
"2103, NSW",892,829,4,207,11,0,6,93,143,2183
"2104, NSW",429,342,0,43,3,0,5,44,72,940
"2105, NSW",270,252,0,63,5,0,0,73,240,904
"2106, NSW",883,973,0,235,17,0,7,77,216,2409
"2107, NSW",1912,1832,0,445,19,0,14,168,641,5035
"2108, NSW",318,124,4,93,9,0,8,53,619,1232
"2109, NSW",0,0,0,0,4,4,3,0,0,6
