,0
1930,5203
1931,5204
1932,5210
1933,5211
1934,5212
1935,5213
1936,5214
1937,5220
1938,5221
1939,5222
1940,5223
1941,5231
1942,5232
1943,5233
1944,5234
1945,5235
1946,5236
1947,5237
1948,5238
1949,5240
1950,5241
1951,5242
1952,5243
1953,5244
1954,5245
1955,5250
1956,5251
1957,5252
1958,5253
1959,5254
1960,5255
1961,5256
1962,5259
1963,5260
1964,5261
1965,5262
1966,5263
1967,5264
1968,5265
1969,5266
1970,5267
1971,5268
1972,5269
1973,5270
1974,5271
1975,5272
1976,5273
1977,5275
1978,5276
1979,5277
1980,5278
1981,5279
1982,5280
1983,5290
1984,5291
1985,5301
1986,5302
1987,5303
1988,5304
1989,5306
1990,5307
1991,5308
1992,5309
1993,5310
1994,5311
1995,5320
1996,5321
1997,5322
1998,5330
1999,5331
2000,5332
2001,5333
2002,5340
2003,5341
2004,5342
2005,5343
2006,5344
2007,5345
2008,5346
2009,5350
2010,5351
2011,5352
2012,5353
2013,5354
2014,5355
2015,5356
2016,5357
2017,5360
2018,5371
2019,5372
2020,5373
2021,5374
2022,5381
2023,5400
2024,5401
2025,5410
2026,5411
2027,5412
2028,5413
2029,5414
2030,5415
2031,5416
2032,5417
2033,5418
2034,5419
2035,5420
2036,5421
2037,5422
2038,5431
2039,5432
2040,5433
2041,5434
2042,5440
2043,5451
2044,5452
2045,5453
2046,5454
2047,5455
2048,5460
2049,5461
2050,5462
2051,5464
2052,5470
2053,5471
2054,5472
2055,5473
2056,5480
2057,5481
2058,5482
2059,5483
2060,5485
2061,5490
2062,5491
2063,5493
2064,5495
2065,5501
2066,5502
2067,5510
2068,5520
2069,5521
2070,5522
2071,5523
2072,5540
2073,5550
2074,5552
2075,5554
2076,5555
2077,5556
2078,5558
2079,5560
2080,5570
2081,5571
2082,5572
2083,5573
2084,5575
2085,5576
2086,5577
2087,5580
2088,5581
2089,5582
2090,5583
2091,5600
2092,5601
2093,5602
2094,5603
2095,5604
2096,5605
2097,5606
2098,5607
2099,5608
2100,5609
2101,5630
2102,5631
2103,5632
2104,5633
2105,5640
2106,5641
2107,5642
2108,5650
2109,5651
2110,5652
2111,5653
2112,5654
2113,5655
2114,5660
2115,5661
2116,5670
2117,5671
2118,5680
2119,5690
2120,5700
2121,5701
2122,5710
2123,5713
2124,5717
2125,5719
2126,5720
2127,5722
2128,5723
2129,5724
2130,5725
2131,5730
2132,5731
2133,5732
2134,5733
2135,5734
2136,5950
2137,6000
2138,6003
2139,6004
2140,6005
2141,6006
2142,6007
2143,6008
2144,6009
2145,6010
2146,6011
2147,6012
2148,6014
2149,6015
2150,6016
2151,6017
2152,6018
2153,6019
2154,6020
2155,6021
2156,6022
2157,6023
2158,6024
2159,6025
2160,6026
2161,6027
2162,6028
2163,6029
2164,6030
2165,6031
2166,6032
2167,6033
